DATE,PE Ratio,,,,,,,,,
02/01/2012,21.8,,,,,,,,,
03/01/2012,22.05,,,,,,,,,
04/01/2012,21.78,,,,,,,,,
05/01/2012,20.94,,,,,,,,,
06/01/2012,20.55,,,,,,,,,
07/01/2012,21,,,,,,,,,
08/01/2012,21.41,,,,,,,,,
09/01/2012,21.78,,,,,,,,,
10/01/2012,21.58,,,,,,,,,
11/01/2012,20.9,,,,,,,,,
12/01/2012,21.24,,,,,,,,,
01/01/2013,21.9,,,,,,,,,
02/01/2013,22.05,,,,,,,,,
03/01/2013,22.42,,,,,,,,,
04/01/2013,22.6,,,,,,,,,
05/01/2013,23.41,,,,,,,,,
06/01/2013,22.93,,,,,,,,,
07/01/2013,23.49,,,,,,,,,
08/01/2013,23.36,,,,,,,,,
09/01/2013,23.44,,,,,,,,,
10/01/2013,23.83,,,,,,,,,
11/01/2013,24.64,,,,,,,,,
12/01/2013,24.86,,,,,,,,,
01/01/2014,24.86,,,,,,,,,
02/01/2014,24.59,,,,,,,,,
03/01/2014,24.96,,,,,,,,,
04/01/2014,24.79,,,,,,,,,
05/01/2014,24.94,,,,,,,,,
06/01/2014,25.56,,,,,,,,,
07/01/2014,25.82,,,,,,,,,
08/01/2014,25.62,,,,,,,,,
09/01/2014,25.92,,,,,,,,,
10/01/2014,25.16,,,,,,,,,
11/01/2014,26.61,,,,,,,,,
12/01/2014,26.79,,,,,,,,,
01/01/2015,26.49,,,,,,,,,
02/01/2015,27,,,,,,,,,
03/01/2015,26.73,,,,,,,,,
04/01/2015,26.79,,,,,,,,,
05/01/2015,26.81,,,,,,,,,
06/01/2015,26.5,,,,,,,,,
07/01/2015,26.38,,,,,,,,,
08/01/2015,25.69,,,,,,,,,
09/01/2015,24.5,,,,,,,,,
10/01/2015,25.49,,,,,,,,,
11/01/2015,26.23,,,,,,,,,
12/01/2015,25.97,,,,,,,,,
01/01/2016,24.21,,,,,,,,,
02/01/2016,24,,,,,,,,,
03/01/2016,25.37,,,,,,,,,
04/01/2016,25.92,,,,,,,,,
05/01/2016,25.69,,,,,,,,,
06/01/2016,25.84,,,,,,,,,
07/01/2016,26.69,,,,,,,,,
08/01/2016,26.95,,,,,,,,,
09/01/2016,26.73,,,,,,,,,
10/01/2016,26.53,,,,,,,,,
11/01/2016,26.85,,,,,,,,,
12/01/2016,27.87,,,,,,,,,
01/01/2017,28.06,,,,,,,,,
02/01/2017,28.66,,,,,,,,,
03/01/2017,29.09,,,,,,,,,
04/01/2017,28.9,,,,,,,,,
05/01/2017,29.31,,,,,,,,,
06/01/2017,29.75,,,,,,,,,
07/01/2017,30,,,,,,,,,
08/01/2017,29.91,,,,,,,,,
09/01/2017,30.17,,,,,,,,,
10/01/2017,30.92,,,,,,,,,
11/01/2017,31.3,,,,,,,,,
12/01/2017,32.09,,,,,,,,,
01/01/2018,33.31,,,,,,,,,
02/01/2018,32.04,,,,,,,,,
03/01/2018,31.81,,,,,,,,,
04/01/2018,30.97,,,,,,,,,
05/01/2018,31.24,,,,,,,,,
06/01/2018,31.63,,,,,,,,,
07/01/2018,31.89,,,,,,,,,
08/01/2018,32.39,,,,,,,,,
09/01/2018,32.62,,,,,,,,,
10/01/2018,31.04,,,,,,,,,
11/01/2018,30.2,,,,,,,,,
12/01/2018,28.29,,,,,,,,,
01/01/2019,28.38,,,,,,,,,
02/01/2019,29.54,,,,,,,,,
03/01/2019,29.58,,,,,,,,,
04/01/2019,30.13,,,,,,,,,
05/01/2019,29.24,,,,,,,,,
06/01/2019,29.28,,,,,,,,,
07/01/2019,29.99,,,,,,,,,
08/01/2019,28.71,,,,,,,,,
09/01/2019,29.23,,,,,,,,,
10/01/2019,28.84,,,,,,,,,
11/01/2019,29.84,,,,,,,,,
12/01/2019,30.33,,,,,,,,,
01/01/2020,30.99,,,,,,,,,
02/01/2020,30.73,,,,,,,,,
03/01/2020,24.82,,,,,,,,,
04/01/2020,25.93,,,,,,,,,
05/01/2020,27.33,,,,,,,,,
06/01/2020,28.84,,,,,,,,,
07/01/2020,29.6,,,,,,,,,
08/01/2020,31.16,,,,,,,,,
09/01/2020,30.84,,,,,,,,,
10/01/2020,31.28,,,,,,,,,
11/01/2020,32.47,,,,,,,,,
12/01/2020,33.77,,,,,,,,,
01/01/2021,34.51,,,,,,,,,
02/01/2021,35.1,,,,,,,,,
03/01/2021,35.04,,,,,,,,,
04/01/2021,36.72,,,,,,,,,
05/01/2021,36.55,,,,,,,,,
06/01/2021,36.7,,,,,,,,,
07/01/2021,37.44,,,,,,,,,
08/01/2021,38.1,,,,,,,,,
09/01/2021,38.3,,,,,,,,,
10/01/2021,37.67,,,,,,,,,
11/01/2021,39.19,,,,,,,,,
12/01/2021,38.68,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
